2024-01-16_16:20:32	20.2	19.26	6.66	0.05	0.1	0.2	10.0	0.0
2024-01-16_16:20:33	20.2	19.26	6.66	0.05	0.1	0.2	10.0	0.0
2024-01-16_16:20:33	20.2	19.26	6.66	0.05	0.1	0.2	10.0	0.0
2024-01-16_16:20:34	20.2	19.26	6.66	0.05	0.1	0.2	10.0	0.0
2024-01-16_16:20:35	20.2	19.26	6.66	0.05	0.1	0.2	10.0	0.0
2024-01-16_16:20:36	20.2	19.26	6.66	0.05	0.1	0.2	10.0	0.0
2024-01-16_16:20:37	20.2	19.26	6.66	0.05	0.1	0.2	10.0	0.0
2024-01-16_16:20:38	20.2	19.26	6.66	0.05	0.1	0.2	10.0	0.0
2024-01-16_16:20:39	20.2	19.26	6.66	0.05	0.1	0.2	10.0	0.0
2024-01-16_16:20:40	20.2	19.26	6.66	0.05	0.1	0.2	10.0	0.0
2024-01-16_16:20:41	20.2	19.26	6.66	0.05	0.1	0.2	10.0	0.0
2024-01-16_16:20:42	20.2	19.26	6.66	0.05	0.1	0.2	10.0	0.0
######
Time			temp0	temp1	temp2	temp3	temp4	temp5	h_flux0	h_flux1
2024-01-16_16:20:43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2024-01-16_16:20:43	20.2	19.26	6.66	0.05	0.1	0.2	10.0	0.0
2024-01-16_16:20:44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2024-01-16_16:20:44	20.2	19.26	6.66	0.05	0.1	0.2	10.0	0.0
2024-01-16_16:20:45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2024-01-16_16:20:45	20.2	19.26	6.66	0.05	0.1	0.2	10.0	0.0
2024-01-16_16:20:46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2024-01-16_16:20:46	20.2	19.26	6.66	0.05	0.1	0.2	10.0	0.0
2024-01-16_16:20:47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2024-01-16_16:20:47	20.2	19.26	6.66	0.05	0.1	0.2	10.0	0.0
2024-01-16_16:20:48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2024-01-16_16:20:48	20.2	19.26	6.66	0.05	0.1	0.2	10.0	0.0
2024-01-16_16:20:49	20.62	19.83	6.66	0.05	0.1	0.2	10.0	0.0
2024-01-16_16:20:49	20.66	19.82	6.66	0.05	0.1	0.2	10.0	0.0
